   Rank                 Name                Count   
---------- ------------------------------ ----------
    1                  James              5,201,182 
    2                   John              5,155,617 
    3                  Robert             4,845,266 
    4                 Michael             4,395,357 
    5                 William             4,147,152 
    6                   Mary              4,143,217 
    7                  David              3,643,465 
    8                  Joseph             2,633,323 
    9                 Richard             2,576,936 
    10                Charles             2,411,726 
    11                 Thomas             2,327,070 
    12              Christopher           2,046,183 
    13                 Daniel             1,937,717 
    14               Elizabeth            1,651,576 
    15                Matthew             1,615,435 
    16                Patricia            1,577,292 
    17                 George             1,480,476 
    18                Jennifer            1,472,854 
    19                 Linda              1,456,822 
    20                Anthony             1,455,724 
    21                Barbara             1,438,872 
    22                 Donald             1,417,752 
    23                  Paul              1,395,922 
    24                  Mark              1,357,987 
    25                 Andrew             1,303,132 
    26                 Edward             1,298,506 
    27                 Steven             1,288,998 
    28                Kenneth             1,281,385 
    29                Margaret            1,254,976 
    30                 Joshua             1,221,718 
    31                 Kevin              1,177,882 
    32                 Brian              1,171,651 
    33                 Susan              1,124,529 
    34                Dorothy             1,111,878 
    35                 Sarah              1,084,506 
    36                 Ronald             1,083,100 
    37                Timothy             1,077,401 
    38                Jessica             1,050,655 
    39                 Jason              1,041,392 
    40                 Helen              1,022,908 
    41                 Nancy              1,005,646 
    42                 Betty              1,003,520 
    43                 Karen               989,378  
    44                Jeffrey              979,142  
    45                  Lisa               968,364  
    46                  Ryan               962,641  
    47                 Jacob               944,666  
    48                 Frank               916,604  
    49                Nicholas             908,103  
    50                  Gary               904,005  
    51                  Anna               899,482  
    52                  Eric               883,684  
    53                 Sandra              876,782  
    54                 Ashley              863,855  
    55                Stephen              862,102  
    56                 Emily               860,361  
    57                Jonathan             848,785  
    58                Kimberly             842,684  
    59                 Donna               833,206  
    60                  Ruth               829,023  
    61                 Carol               825,067  
    62                Michelle             814,946  
    63                 Larry               809,648  
    64                 Laura               799,198  
    65                 Amanda              788,737  
    66                 Justin              782,332  
    67                Raymond              777,607  
    68                 Scott               774,767  
    69                 Samuel              772,223  
    70                Benjamin             764,037  
    71                Brandon              763,778  
    72                Melissa              757,738  
    73                Rebecca              751,832  
    74               Stephanie             743,898  
    75                Deborah              742,672  
